Generation, Fitness, Average
0, 0, 133
1, 241, 152
2, 241, 163
3, 268, 174
4, 268, 185
5, 268, 200
6, 309, 211
7, 327, 228
8, 359, 243
9, 368, 253
10, 373, 269
11, 403, 279
12, 403, 291
13, 468, 318
14, 471, 337
15, 487, 346
16, 487, 368
17, 511, 388
18, 521, 399
19, 532, 414
20, 532, 424
21, 555, 442
22, 577, 476
23, 641, 486
24, 660, 509
25, 700, 541
26, 700, 563
27, 766, 588
28, 766, 598
29, 805, 605
30, 805, 633
31, 805, 649
32, 831, 661
33, 831, 687
34, 831, 690
35, 831, 700
36, 851, 709
37, 902, 733
38, 959, 745
39, 959, 742
40, 1002, 768
41, 1002, 772
42, 1002, 799
43, 1002, 796
44, 1016, 838
45, 1021, 855
46, 1067, 843
47, 1067, 878
48, 1108, 898
49, 1108, 922
50, 1158, 928
51, 1174, 961
52, 1183, 995
53, 1183, 1011
54, 1212, 1048
55, 1212, 1074
56, 1212, 1098
57, 1212, 1093
58, 1212, 1111
59, 1212, 1118
60, 1212, 1116
61, 1223, 1133
62, 1241, 1144
63, 1241, 1133
64, 1241, 1143
65, 1241, 1154
66, 1241, 1134
67, 1241, 1144
68, 1241, 1143
69, 1245, 1144
70, 1245, 1156
71, 1245, 1156
72, 1265, 1157
73, 1265, 1150
74, 1265, 1173
75, 1265, 1154
76, 1265, 1129
77, 1325, 1153
78, 1325, 1156
79, 1325, 1188
80, 1325, 1188
81, 1325, 1185
82, 1325, 1162
83, 1325, 1182
84, 1325, 1190
85, 1354, 1224
86, 1354, 1239
87, 1354, 1243
88, 1354, 1261
89, 1354, 1251
90, 1354, 1257
91, 1354, 1242
92, 1354, 1240
93, 1354, 1240
94, 1407, 1245
95, 1407, 1277
96, 1407, 1284
97, 1407, 1270
98, 1407, 1257
99, 1407, 1294
